air_pollutant,unit_air_poll_lvl,air_pollutant_level,air_qual_stat_type,year,country,region,AQI_Index,geo_code,exceedance_amount
NO2,ug/m3,57.159,Traffic,2023,France,Western Europe,142.89749999999998,FR,47.159
PM2.5,ug/m3,14.555,Background,2023,Poland,Eastern Europe,58.21999999999999,PL,9.555
PM10,ug/m3,36.993,Industrial,2023,Spain,Southern Europe,92.4825,ES,21.993000000000002
NO2,ug/m3,17.639,Background,2023,Poland,Eastern Europe,44.0975,PL,7.638999999999999
PM10,ug/m3,11.47,Background,2023,Ireland,Northern Europe,28.675,IE,0.0
NO2,ug/m3,66.218,Traffic,2023,France,Western Europe,165.54500000000002,FR,56.218
PM10,ug/m3,18.203,Industrial,2023,Spain,Southern Europe,45.5075,ES,3.2029999999999994
NO2,ug/m3,22.127,Background,2023,France,Western Europe,55.3175,FR,12.126999999999999
NO2,ug/m3,2.981,Background,2023,France,Western Europe,7.4525,FR,0.0
NO2,ug/m3,10.198,Background,2023,France,Western Europe,25.495,FR,0.1980000000000004
NO2,ug/m3,46.954,Traffic,2023,France,Western Europe,117.385,FR,36.954
