air_pollutant,unit_air_poll_lvl,air_pollutant_level,air_qual_stat_type,year,country,region,AQI_Index,geo_code,exceedance_amount
NO2,ug/m3,9.984,Background,2023,France,Western Europe,24.96,FR,0.0
NO2,ug/m3,31.679,Traffic,2023,Portugal,Southern Europe,79.1975,PT,21.679
NO2,ug/m3,18.03,Traffic,2023,Portugal,Southern Europe,45.075,PT,8.030000000000001
PM2.5,ug/m3,17.389,Traffic,2023,Serbia,Southern Europe,69.556,RS,12.389
NO2,ug/m3,13.523,Background,2023,France,Western Europe,33.807500000000005,FR,3.5229999999999997
NO2,ug/m3,20.427,Traffic,2023,Portugal,Southern Europe,51.0675,PT,10.427
NO2,ug/m3,10.074,Background,2023,France,Western Europe,25.185,FR,0.07399999999999984
NO2,ug/m3,11.261,Background,2023,France,Western Europe,28.1525,FR,1.2609999999999992
NO2,ug/m3,10.428,Background,2023,Portugal,Southern Europe,26.070000000000004,PT,0.4280000000000008
NO2,ug/m3,11.495,Background,2023,France,Western Europe,28.7375,FR,1.4949999999999992
PM2.5,ug/m3,10.836,Background,2023,Poland,Eastern Europe,43.344,PL,5.836
NO2,ug/m3,12.074,Background,2023,Poland,Eastern Europe,30.185,PL,2.074
PM2.5,ug/m3,25.72,Traffic,2023,North Macedonia,Southern Europe,102.88,MK,20.72
PM10,ug/m3,20.506,Industrial,2023,Spain,Southern Europe,51.26500000000001,ES,5.506
NO2,ug/m3,24.766,Background,2023,France,Western Europe,61.915,FR,14.765999999999998
PM10,ug/m3,9.291,Industrial,2023,Spain,Southern Europe,23.2275,ES,0.0
NO2,ug/m3,55.987,Traffic,2023,France,Western Europe,139.9675,FR,45.987
NO2,ug/m3,10.644,Background,2023,Poland,Eastern Europe,26.61,PL,0.6440000000000001
NO2,ug/m3,26.38,Background,2023,France,Western Europe,65.95,FR,16.38
NO2,ug/m3,29.424,Background,2023,France,Western Europe,73.56,FR,19.424
PM10,ug/m3,28.22,Industrial,2023,Spain,Southern Europe,70.55,ES,13.219999999999999
NO2,ug/m3,6.157,Background,2023,Poland,Eastern Europe,15.3925,PL,0.0
PM2.5,ug/m3,16.31,Background,2023,Poland,Eastern Europe,65.24,PL,11.309999999999999
NO2,ug/m3,11.363,Background,2023,France,Western Europe,28.407499999999995,FR,1.3629999999999995
NO2,ug/m3,12.88,Background,2023,France,Western Europe,32.2,FR,2.880000000000001
NO2,ug/m3,6.06,Background,2023,Spain,Southern Europe,15.15,ES,0.0
PM2.5,ug/m3,12.431,Traffic,2023,Slovakia,Eastern Europe,49.724,SK,7.430999999999999
PM2.5,ug/m3,8.639,Background,2023,Poland,Eastern Europe,34.556,PL,3.6389999999999993
PM2.5,ug/m3,16.497,Background,2023,Slovakia,Eastern Europe,65.988,SK,11.497
NO2,ug/m3,35.352,Traffic,2023,France,Western Europe,88.38,FR,25.351999999999997
NO2,ug/m3,14.527,Background,2023,France,Western Europe,36.3175,FR,4.526999999999999
NO2,ug/m3,11.017,Background,2023,France,Western Europe,27.5425,FR,1.0169999999999995
NO2,ug/m3,10.52,Background,2023,Portugal,Southern Europe,26.3,PT,0.5199999999999996
