geo_code,region,ig_label,country,year,num_deaths,population,GNI_per_capita_wb_Atlas_USD_EUR,people_affected,total_death_attributed_sex_standarized
BE,Western Europe,H,Belgium,2010.0,31935.0,21679810.0,32681.0,31935.0,5.0
BE,Western Europe,H,Belgium,2011.0,30411.0,22001276.0,34793.0,30411.0,5.0
BE,Western Europe,H,Belgium,2012.0,31261.0,22151778.0,36425.0,31261.0,5.0
BE,Western Europe,H,Belgium,2013.0,30939.0,22275948.0,36305.0,30939.0,4.0
BE,Western Europe,H,Belgium,2014.0,28172.0,22361680.0,34675.0,28172.0,4.0
BE,Western Europe,H,Belgium,2015.0,29104.0,22474548.0,37534.0,29104.0,4.0
BE,Western Europe,H,Belgium,2016.0,29012.0,22622234.0,39865.0,29012.0,4.0
BE,Western Europe,H,Belgium,2017.0,28690.0,22703454.0,40338.0,28690.0,4.0
BE,Western Europe,H,Belgium,2018.0,28300.0,22797178.0,38406.0,28300.0,4.0
BE,Western Europe,H,Belgium,2019.0,29013.0,22911038.0,42018.0,29013.0,4.0
BG,Eastern Europe,LM,Bulgaria,1990.0,28011.0,17534616.0,2091.0,28011.0,14.0
BG,Eastern Europe,LM,Bulgaria,1991.0,27393.0,17338538.0,1499.0,27393.0,14.0
BG,Eastern Europe,LM,Bulgaria,1992.0,26178.0,17190930.0,1318.0,26178.0,14.0
BG,Eastern Europe,LM,Bulgaria,1993.0,25481.0,16969726.0,1147.0,25481.0,14.0
BG,Eastern Europe,LM,Bulgaria,1994.0,24773.0,16919526.0,1132.0,24773.0,14.0
BG,Eastern Europe,LM,Bulgaria,1995.0,25444.0,16854836.0,1382.0,25444.0,14.0
BG,Eastern Europe,LM,Bulgaria,1996.0,25760.0,16769430.0,1439.0,25760.0,14.0
BG,Eastern Europe,LM,Bulgaria,1997.0,26417.0,16681872.0,1315.0,26417.0,13.0
BG,Eastern Europe,LM,Bulgaria,1998.0,24208.0,16566400.0,1291.0,24208.0,13.0
BG,Eastern Europe,LM,Bulgaria,1999.0,22808.0,16460742.0,1321.0,22808.0,13.0
BG,Eastern Europe,LM,Bulgaria,2000.0,22948.0,16381752.0,1653.0,22948.0,13.0
BG,Eastern Europe,LM,Bulgaria,2001.0,22684.0,16298936.0,1903.0,22684.0,13.0
BG,Eastern Europe,LM,Bulgaria,2002.0,23071.0,15737630.0,2236.0,23071.0,12.0
BG,Eastern Europe,LM,Bulgaria,2003.0,24109.0,15611012.0,2260.0,24109.0,12.0
BG,Eastern Europe,LM,Bulgaria,2004.0,24663.0,15490294.0,2423.0,24663.0,12.0
BG,Eastern Europe,LM,Bulgaria,2005.0,26911.0,15377146.0,2790.0,26911.0,12.0
BG,Eastern Europe,UM,Bulgaria,2006.0,27510.0,15258742.0,3645.0,27510.0,11.0
BG,Eastern Europe,UM,Bulgaria,2007.0,27526.0,15145346.0,3653.0,27526.0,11.0
BG,Eastern Europe,UM,Bulgaria,2008.0,27476.0,15036004.0,4124.0,27476.0,11.0
BG,Eastern Europe,UM,Bulgaria,2009.0,27509.0,14934238.0,4800.0,27509.0,11.0
BG,Eastern Europe,UM,Bulgaria,2010.0,27542.0,14843532.0,4867.0,27542.0,11.0
BG,Eastern Europe,UM,Bulgaria,2011.0,28696.0,14738862.0,5441.0,28696.0,10.0
BG,Eastern Europe,UM,Bulgaria,2012.0,26594.0,14654448.0,5797.0,26594.0,10.0
BG,Eastern Europe,UM,Bulgaria,2013.0,26247.0,14569104.0,5761.0,26247.0,10.0
